filepath,label
synthetic_dataset\sample_class0_0.wav,0
synthetic_dataset\sample_class0_1.wav,0
synthetic_dataset\sample_class0_2.wav,0
synthetic_dataset\sample_class0_3.wav,0
synthetic_dataset\sample_class0_4.wav,0
synthetic_dataset\sample_class0_5.wav,0
synthetic_dataset\sample_class0_6.wav,0
synthetic_dataset\sample_class0_7.wav,0
synthetic_dataset\sample_class0_8.wav,0
synthetic_dataset\sample_class0_9.wav,0
synthetic_dataset\sample_class0_10.wav,0
synthetic_dataset\sample_class0_11.wav,0
synthetic_dataset\sample_class0_12.wav,0
synthetic_dataset\sample_class0_13.wav,0
synthetic_dataset\sample_class0_14.wav,0
synthetic_dataset\sample_class0_15.wav,0
synthetic_dataset\sample_class0_16.wav,0
synthetic_dataset\sample_class0_17.wav,0
synthetic_dataset\sample_class0_18.wav,0
synthetic_dataset\sample_class0_19.wav,0
synthetic_dataset\sample_class1_0.wav,1
synthetic_dataset\sample_class1_1.wav,1
synthetic_dataset\sample_class1_2.wav,1
synthetic_dataset\sample_class1_3.wav,1
synthetic_dataset\sample_class1_4.wav,1
synthetic_dataset\sample_class1_5.wav,1
synthetic_dataset\sample_class1_6.wav,1
synthetic_dataset\sample_class1_7.wav,1
synthetic_dataset\sample_class1_8.wav,1
synthetic_dataset\sample_class1_9.wav,1
synthetic_dataset\sample_class1_10.wav,1
synthetic_dataset\sample_class1_11.wav,1
synthetic_dataset\sample_class1_12.wav,1
synthetic_dataset\sample_class1_13.wav,1
synthetic_dataset\sample_class1_14.wav,1
synthetic_dataset\sample_class1_15.wav,1
synthetic_dataset\sample_class1_16.wav,1
synthetic_dataset\sample_class1_17.wav,1
synthetic_dataset\sample_class1_18.wav,1
synthetic_dataset\sample_class1_19.wav,1
synthetic_dataset\sample_class2_0.wav,2
synthetic_dataset\sample_class2_1.wav,2
synthetic_dataset\sample_class2_2.wav,2
synthetic_dataset\sample_class2_3.wav,2
synthetic_dataset\sample_class2_4.wav,2
synthetic_dataset\sample_class2_5.wav,2
synthetic_dataset\sample_class2_6.wav,2
synthetic_dataset\sample_class2_7.wav,2
synthetic_dataset\sample_class2_8.wav,2
synthetic_dataset\sample_class2_9.wav,2
synthetic_dataset\sample_class2_10.wav,2
synthetic_dataset\sample_class2_11.wav,2
synthetic_dataset\sample_class2_12.wav,2
synthetic_dataset\sample_class2_13.wav,2
synthetic_dataset\sample_class2_14.wav,2
synthetic_dataset\sample_class2_15.wav,2
synthetic_dataset\sample_class2_16.wav,2
synthetic_dataset\sample_class2_17.wav,2
synthetic_dataset\sample_class2_18.wav,2
synthetic_dataset\sample_class2_19.wav,2
